;ID;x;auc;fid;DIM
307;UNIOA_PSO_asyncE_syncG;50010;0.907556907371206;6;5
308;UNIOA_PSO_syncE_syncG;50010;0.928584673270745;6;5
309;SEP_BA_asyncE_syncG;200010;0;6;20
310;SEP_BA_syncE_syncG;200010;0;6;20
311;SEP_BOA_asyncE_syncG;200010;0;6;20
312;SEP_BOA_syncE_syncG;200010;0;6;20
313;SEP_CSA_asyncE;200010;0.350364325205547;6;20
314;SEP_CSA_syncE;200010;0.355739003970175;6;20
315;SEP_GOA_asyncE_syncG;200010;0;6;20
316;SEP_GOA_syncE_syncG;200010;0;6;20
317;SEP_MBO_asyncE_syncG;200010;0.133374808220894;6;20
318;SEP_MBO_syncE_syncG;200010;0.25354749997094;6;20
319;SEP_MFO_asyncE;200010;0.0452021857631785;6;20
320;SEP_MFO_syncE;200010;0.0349363414182232;6;20
321;SEP_PSO_asyncE_syncG;200010;0;6;20
322;SEP_PSO_syncE_syncG;200010;0.0386313854241928;6;20
323;UNIOA_BA_asyncE_syncG;200010;0;6;20
324;UNIOA_BA_syncE_syncG;200010;0;6;20
325;UNIOA_BOA_asyncE_syncG;200010;0;6;20
326;UNIOA_BOA_syncE_syncG;200010;0;6;20
327;UNIOA_CSA_asyncE;200010;0.282808774441169;6;20
328;UNIOA_CSA_syncE;200010;0.278729121465211;6;20
329;UNIOA_GOA_asyncE_syncG;200010;0.00216180367452216;6;20
330;UNIOA_GOA_syncE_syncG;200010;0;6;20
331;UNIOA_MBO_asyncE_syncG;200010;0.197595420249501;6;20
332;UNIOA_MBO_syncE_syncG;200010;0.108400385991887;6;20
333;UNIOA_MFO_asyncE;200010;0.139577587297106;6;20
334;UNIOA_MFO_syncE;200010;0.146250183591533;6;20
335;UNIOA_PSO_asyncE_syncG;200010;0.0193551596929957;6;20
336;UNIOA_PSO_syncE_syncG;200010;0;6;20
337;SEP_BA_asyncE_syncG;50010;0.136393646969763;7;5
338;SEP_BA_syncE_syncG;50010;0.136778335462693;7;5
339;SEP_BOA_asyncE_syncG;50010;0.24116454521784;7;5
340;SEP_BOA_syncE_syncG;50010;0.19557115556287;7;5
341;SEP_CSA_asyncE;50010;0.799873558776696;7;5
342;SEP_CSA_syncE;50010;0.764473568505836;7;5
343;SEP_GOA_asyncE_syncG;50010;0.155132171991033;7;5
344;SEP_GOA_syncE_syncG;50010;0.155692084785657;7;5
345;SEP_MBO_asyncE_syncG;50010;0.361632866512353;7;5
346;SEP_MBO_syncE_syncG;50010;0.826588437005592;7;5
347;SEP_MFO_asyncE;50010;0.251922910055541;7;5
348;SEP_MFO_syncE;50010;0.26122734512314;7;5
349;SEP_PSO_asyncE_syncG;50010;0.726835738904306;7;5
350;SEP_PSO_syncE_syncG;50010;0.956723500754394;7;5
351;UNIOA_BA_asyncE_syncG;50010;0.13689421742381;7;5
352;UNIOA_BA_syncE_syncG;50010;0.15600542059254;7;5
353;UNIOA_BOA_asyncE_syncG;50010;0.172238548358426;7;5
354;UNIOA_BOA_syncE_syncG;50010;0.160329338162868;7;5
355;UNIOA_CSA_asyncE;50010;0.845796746050051;7;5
356;UNIOA_CSA_syncE;50010;0.870040973543019;7;5
357;UNIOA_GOA_asyncE_syncG;50010;0.190558088382324;7;5
358;UNIOA_GOA_syncE_syncG;50010;0.126768698904307;7;5
359;UNIOA_MBO_asyncE_syncG;50010;0.893485557707868;7;5
360;UNIOA_MBO_syncE_syncG;50010;0.284936087351382;7;5
361;UNIOA_MFO_asyncE;50010;0.625767313130065;7;5
362;UNIOA_MFO_syncE;50010;0.594988947886634;7;5
363;UNIOA_PSO_asyncE_syncG;50010;0.985594943671622;7;5
364;UNIOA_PSO_syncE_syncG;50010;0.366903133099536;7;5
365;SEP_BA_asyncE_syncG;200010;0;7;20
366;SEP_BA_syncE_syncG;200010;0;7;20
367;SEP_BOA_asyncE_syncG;200010;0.011344726881303;7;20
